ubica_geo_mod,fgt1
Aguascalientes,0.177803205
Baja California,0.102804713
Baja California Sur,0.120228613
Campeche,0.213276158
Chiapas,0.342669756
Chihuahua,0.202952528
Ciudad de México,0.079176438
Coahuila de Zaragoza,0.162965267
Colima,0.128349317
Durango,0.263816004
Guanajuato,0.2209437
Guerrero,0.273252524
Hidalgo,0.229738628
Jalisco,0.131758632
Michoacán de Ocampo,0.171155192
Morelos,0.161883514
México,0.174221893
Nayarit,0.154255524
Nuevo León,0.160615426
Oaxaca,0.325173237
Puebla,0.251999864
Querétaro,0.151862026
Quintana Roo,0.117856936
San Luis Potos√≠,0.244277213
Sinaloa,0.126054887
Sonora,0.177549026
Tabasco,0.220485971
Tamaulipas,0.165760535
Tlaxcala,0.223738971
Veracruz de Ignacio de la Llave,0.2671979
Yucatán,0.20609055
Zacatecas,0.223389088
